Date,c,o,h,l,v
2015-08-19,286.53006382264,280.46504684059,287.69641324226,280.46504684059,6594
2015-08-20,282.79774567984,286.53006382264,290.02911208151,282.79774567984,4010
2015-08-23,286.29679393872,282.79774567984,288.62949277796,280.46504684059,10314
2015-08-24,308.22416302766,291.19546150114,310.79013175083,291.19546150114,3807
2015-08-25,308.45743291158,303.09222558131,310.79013175083,301.45933639383,2510
2015-08-26,314.2891800097,313.356100474,318.72130780428,310.79013175083,1586
2015-08-27,338.31597805397,320.12092710783,338.31597805397,320.12092710783,9080
2015-08-31,359.77680737506,338.78251782182,361.40969656253,338.78251782182,9693
2015-09-01,343.44791550032,359.77680737506,366.07509424103,343.44791550032,7048
2015-09-02,336.44981898257,337.61616840219,345.78061433957,336.44981898257,1428
2015-09-03,331.78442130407,331.78442130407,334.11712014332,329.45172246482,986
2015-09-06,334.11712014332,329.45172246482,335.05019967902,329.45172246482,2652
2015-09-07,328.2853730452,334.58365991117,334.58365991117,322.686895831,2246
2015-09-08,332.9507707237,329.45172246482,332.9507707237,329.45172246482,229
2015-09-09,327.11902362557,329.68499234875,329.68499234875,324.78632478632,911
2015-09-10,320.12092710783,321.52054641138,321.52054641138,315.92206919718,598
2015-09-13,324.78632478632,321.28727652745,325.71940432202,321.28727652745,1815
2015-09-14,324.78632478632,325.95267420595,325.95267420595,324.78632478632,350
2015-09-15,334.8169297951,327.11902362557,334.8169297951,322.686895831,11217
2015-09-16,323.6199753667,328.98518269697,328.98518269697,323.6199753667,1195
2015-09-17,320.12092710783,323.85324525063,329.45172246482,320.12092710783,2921
2015-09-22,316.85514873288,322.45362594708,322.45362594708,316.85514873288,400
2015-09-23,320.12092710783,322.22035606315,321.98708617923,320.12092710783,626
2015-09-24,315.45552942933,314.52244989363,319.8876572239,314.52244989363,2082
2015-09-28,311.02340163476,311.95648117045,311.95648117045,308.45743291158,1107
2015-09-29,308.45743291158,308.45743291158,309.15724256336,307.29108349196,1163
2015-09-30,311.95648117045,310.79013175083,313.12283059008,310.32359198298,666
2015-10-01,310.79013175083,310.79013175083,310.79013175083,310.79013175083,200
2015-10-04,304.72511476878,305.42492442056,308.45743291158,304.72511476878,615
2015-10-05,308.45743291158,307.99089314373,308.45743291158,307.99089314373,353
2015-10-06,303.79203523308,307.29108349196,307.29108349196,303.79203523308,152
2015-10-07,301.45933639383,303.79203523308,303.79203523308,299.12663755459,473
2015-10-08,307.75762325981,306.59127384018,307.75762325981,302.62568581346,2364
2015-10-11,300.29298697421,302.62568581346,302.62568581346,300.29298697421,2000
2015-10-14,293.29489045646,295.16104952786,295.16104952786,287.92968312619,1092
2015-10-15,294.46123987609,292.12854103684,294.46123987609,292.12854103684,234
2015-10-18,287.46314335834,289.79584219759,289.79584219759,287.46314335834,305
2015-10-19,292.36181092076,292.36181092076,292.36181092076,292.36181092076,50
2015-10-25,287.46314335834,287.46314335834,287.46314335834,287.46314335834,34
2015-10-27,282.56447579592,287.46314335834,287.46314335834,282.56447579592,501
2015-10-28,273.46695032285,282.56447579592,282.56447579592,272.30060090322,2324
2015-10-29,279.29869742097,273.46695032285,279.29869742097,273.46695032285,3072
2015-11-01,271.36752136752,274.63329974247,274.63329974247,270.2011719479,506
2015-11-02,273.9334900907,274.63329974247,277.89907811742,272.53387078715,2662
2015-11-03,275.79964916209,273.46695032285,275.79964916209,273.46695032285,1629
2015-11-04,275.56637927817,271.1342514836,275.56637927817,271.1342514836,982
2015-11-05,273.46695032285,274.63329974247,274.63329974247,272.53387078715,2084
2015-11-08,273.000410555,272.53387078715,273.000410555,272.53387078715,520
2015-11-09,279.29869742097,273.70022020677,279.29869742097,273.70022020677,1299
2015-11-10,280.46504684059,279.29869742097,281.16485649237,278.13234800134,2316
2015-11-15,279.06542753704,280.46504684059,280.46504684059,279.06542753704,138
2015-11-16,274.63329974247,274.63329974247,274.63329974247,273.46695032285,409
2015-11-18,277.89907811742,277.89907811742,277.89907811742,277.89907811742,500
2015-11-19,274.86656962639,273.46695032285,275.79964916209,273.23368043892,1309
2015-11-22,270.43444183182,271.36752136752,271.36752136752,269.96790206397,1869
